food_id,name,tags,ingredients,cook_time,img_url
144,Kuzhambu,spicy main course Tamil Nadu vegetarian,Not available,Not available,
145,Masala Dosa,spicy snack -1 vegetarian,Not available,Not available,
146,Pachadi,-1 main course -1 vegetarian,Not available,Not available,
147,Paniyaram,-1 main course Tamil Nadu vegetarian,Not available,Not available,
148,Papadum,spicy snack Kerala vegetarian,Not available,Not available,
149,Paravannam,spicy main course Kerala vegetarian,Not available,Not available,
150,Payasam,sweet dessert -1 vegetarian,Not available,Not available,
151,Paruppu sadam,-1 main course Tamil Nadu vegetarian,Not available,Not available,
152,Pesarattu,spicy snack Andhra Pradesh vegetarian,Not available,Not available,
153,Poriyal,spicy main course Tamil Nadu vegetarian,Not available,Not available,
154,Puli sadam,-1 main course Tamil Nadu vegetarian,Not available,Not available,
155,Rasam,spicy main course -1 vegetarian,Not available,Not available,
156,Puttu,-1 main course Kerala vegetarian,Not available,Not available,
157,Sambar,spicy main course -1 vegetarian,Not available,Not available,
158,Sandige,-1 main course Karnataka vegetarian,Not available,Not available,
159,Sevai,-1 main course -1 vegetarian,Not available,Not available,
160,Thayir sadam,-1 main course Tamil Nadu vegetarian,Not available,Not available,
161,Theeyal,-1 main course Kerala vegetarian,Not available,Not available,
162,Uttapam,spicy snack -1 vegetarian,Not available,Not available,
163,Vada,spicy snack -1 vegetarian,Not available,Not available,
164,Chicken Varuval,spicy main course Tamil Nadu non vegetarian,Not available,Not available,
165,Upma,spicy snack -1 vegetarian,Not available,Not available,
166,Amti,spicy main course Maharashtra vegetarian,Not available,Not available,
167,Zunka,spicy main course Maharashtra vegetarian,Not available,Not available,
168,Kolim Jawla,spicy main course Maharashtra non vegetarian,Not available,Not available,
169,Saath,spicy main course Gujarat vegetarian,Not available,Not available,
170,Bajri no rotlo,spicy main course Gujarat vegetarian,Not available,Not available,
171,Coconut vadi,sweet dessert Maharashtra vegetarian,Not available,Not available,
172,Bhakri,-1 main course Maharashtra vegetarian,Not available,Not available,
173,Bombil fry,spicy main course Maharashtra non vegetarian,Not available,Not available,
174,Chakali,spicy snack Maharashtra vegetarian,Not available,Not available,
175,Chevdo,spicy snack Gujarat vegetarian,Not available,Not available,
176,Chorafali,spicy snack Gujarat vegetarian,Not available,Not available,
177,Copra paak,-1 main course Gujarat vegetarian,Not available,Not available,
178,Daal Dhokli,spicy main course Gujarat vegetarian,Not available,Not available,
179,Kutchi dabeli,spicy snack Gujarat vegetarian,Not available,Not available,
180,Dahi vada,-1 snack Maharashtra vegetarian,Not available,Not available,
181,Dalithoy,-1 main course Maharashtra vegetarian,Not available,Not available,
182,Dhokla,spicy snack Gujarat vegetarian,Not available,Not available,
183,Dudhi halwa,sweet dessert Gujarat vegetarian,Not available,Not available,
184,Gatta curry,spicy main course Rajasthan vegetarian,Not available,Not available,
185,Gud papdi,sweet dessert Gujarat vegetarian,Not available,Not available,
186,Ghooghra,spicy snack Gujarat vegetarian,Not available,Not available,
187,Handwo,spicy snack Gujarat vegetarian,Not available,Not available,
188,Halvasan,sweet dessert Gujarat vegetarian,Not available,Not available,
189,Jeera Aloo,spicy main course Gujarat vegetarian,Not available,Not available,
190,Kansar,-1 main course Gujarat vegetarian,Not available,Not available,
191,Keri no ras,sour main course Gujarat vegetarian,Not available,Not available,
192,Khakhra,spicy snack Gujarat vegetarian,Not available,Not available,
193,Khandvi,spicy snack Gujarat vegetarian,Not available,Not available,
194,Kombdi vade,spicy snack Maharashtra vegetarian,Not available,Not available,
195,Laapsi,spicy main course Madhya Pradesh vegetarian,Not available,Not available,
196,Koshimbir,spicy main course Maharashtra vegetarian,Not available,Not available,
197,Methi na Gota,bitter main course Gujarat vegetarian,Not available,Not available,
198,Mohanthal,sweet dessert Gujarat vegetarian,Not available,Not available,
199,Muthiya,bitter snack Gujarat vegetarian,Not available,Not available,
200,Patra,spicy snack Gujarat vegetarian,Not available,Not available,
201,Pav Bhaji,spicy main course Maharashtra vegetarian,Not available,Not available,
202,Puri Bhaji,spicy main course Maharashtra vegetarian,Not available,Not available,
