food_id,name,tags,ingredients,cook_time,img_url,diet,dish_family,soup
50,Pongal,sweet dessert Tamil Nadu vegetarian,"Rice, jaggery, cashews, ghee",20,,veg,south_indian,"pongal pongal pongal Rice, jaggery, cashews, ghee sweet dessert Tamil Nadu vegetarian"
51,Pootharekulu,sweet dessert Andhra Pradesh vegetarian,"Rice flour, powdered sugar, ghee",60,,veg,other,"pootharekulu pootharekulu pootharekulu Rice flour, powdered sugar, ghee sweet dessert Andhra Pradesh vegetarian"
52,Qubani ka meetha,sweet dessert Telangana vegetarian,"Apricots, sugar syrup",20,,veg,other,"qubani_ka_meetha qubani_ka_meetha qubani_ka_meetha Apricots, sugar syrup sweet dessert Telangana vegetarian"
53,Sheer korma,sweet dessert Telangana vegetarian,"Vermicelli pudding, milk",20,,veg,curry,"sheer_korma sheer_korma sheer_korma Vermicelli pudding, milk sweet dessert Telangana vegetarian"
54,Unni Appam,sweet dessert Tamil Nadu vegetarian,"Rice flour, banana, jaggery, coconut",20,,veg,other,"unni_appam unni_appam unni_appam Rice flour, banana, jaggery, coconut sweet dessert Tamil Nadu vegetarian"
55,Kajjikaya,sweet dessert Andhra Pradesh vegetarian,"Rice flour, jaggery, coconut",15,,veg,other,"kajjikaya kajjikaya kajjikaya Rice flour, jaggery, coconut sweet dessert Andhra Pradesh vegetarian"
56,Anarsa,sweet dessert Maharashtra vegetarian,"Rice flour, jaggery, khus-khus seeds",50,,veg,other,"anarsa anarsa anarsa Rice flour, jaggery, khuskhus seeds sweet dessert Maharashtra vegetarian"
57,Basundi,sweet dessert Gujarat vegetarian,"Sugar, milk, nuts",35,,veg,other,"basundi basundi basundi Sugar, milk, nuts sweet dessert Gujarat vegetarian"
58,Dhondas,sweet dessert Maharashtra vegetarian,"Cucumber, rava",50,,veg,other,"dhondas dhondas dhondas Cucumber, rava sweet dessert Maharashtra vegetarian"
59,Doodhpak,sweet dessert Gujarat vegetarian,"Milk, rice, sugar, dry fruits",60,,veg,other,"doodhpak doodhpak doodhpak Milk, rice, sugar, dry fruits sweet dessert Gujarat vegetarian"
60,Mahim halwa,sweet dessert Maharashtra vegetarian,"Semolina, sugar",25,,veg,dessert,"mahim_halwa mahim_halwa mahim_halwa Semolina, sugar sweet dessert Maharashtra vegetarian"
